0	0	0	0	0	0	0	
1	1	1	1	1	1	1	
2	2	2	2	2	2	2	
3	2	1	2	1	2	1	
4	0	0	1	1	1	1	
5	1	1	0	0	0	0	
6	1	1	1	1	0	0	
7	2	0	2	0	2	0	
8	1	0	1	0	1	0	
9	0	1	0	1	0	1	
10	1	2	1	2	1	2	
11	0	2	0	2	0	2	
12	0	2	0	0	0	0	
13	0	2	0	2	0	0	
14	1	1	1	1	0	1	
15	1	0	0	0	0	0	
16	1	1	1	1	1	0	
17	1	1	0	1	0	0	
18	0	1	0	0	0	0	
19	1	1	1	0	0	0	
20	0	0	1	0	1	1	
21	0	1	1	1	1	1	
22	1	1	1	0	1	0	
23	1	0	1	0	0	0	
24	1	1	0	1	0	1	
25	0	0	0	1	0	0	
26	0	1	0	1	0	0	
27	0	0	0	1	0	1	
28	0	1	0	1	1	1	
29	1	0	1	1	1	1	
30	1	0	1	0	1	1	
31	0	0	0	0	1	1	
32	0	0	1	0	1	0	
33	1	0	1	1	0	0	
34	0	0	1	1	0	0	
35	2	2	2	2	0	0	
36	0	0	0	0	0	1	
37	0	0	0	0	1	0	
38	0	0	1	0	0	0	
39	1	0	1	0	0	1	
40	0	1	1	1	0	0	
41	0	0	0	1	1	1	
42	0	0	1	1	0	1	
43	0	1	1	1	1	0	
44	0	1	0	1	1	0	
45	0	0	0	1	1	0	
46	1	2	2	2	2	2	
47	1	2	2	2	0	0	
48	2	2	0	2	0	0	
49	2	2	0	0	0	0	
50	0	2	0	2	2	2	
51	2	2	2	2	0	2	
52	1	1	0	0	0	2	
53	2	0	0	0	0	0	
54	0	0	2	2	2	2	
55	0	2	2	2	2	2	
56	0	0	0	0	0	2	
57	2	2	2	0	0	0	
58	2	2	2	2	2	0	
59	0	0	0	0	2	2	
60	2	0	2	2	2	2	
61	0	0	2	0	0	0	
62	1	1	0	2	2	2	
63	2	2	0	2	0	2	
64	0	2	2	2	0	0	
65	0	0	0	2	2	2	
66	0	0	2	0	2	2	
67	1	2	0	2	0	0	
68	0	0	0	0	2	0	
69	2	2	2	0	2	0	
70	0	0	0	2	0	0	
71	0	0	0	2	0	2	
72	1	1	1	2	2	2	
73	0	0	2	2	0	2	
74	0	2	2	0	0	0	
75	2	0	0	2	0	0	
76	1	2	1	2	1	1	
77	1	2	0	0	0	0	
78	0	1	0	2	0	2	
79	1	1	2	2	2	2	
80	0	2	1	2	1	1	
81	2	2	2	2	1	2	
82	1	2	1	1	1	0	
83	1	2	1	1	1	1	
84	0	2	1	2	1	2	
85	1	2	0	2	0	2	
86	2	2	1	2	1	1	
87	2	2	1	2	1	2	
88	0	2	0	2	1	2	
89	1	2	0	2	2	2	
90	1	2	1	2	2	2	
91	2	2	2	2	1	1	
